"","SEQNUM","SURMNTH","FWGHT","FORMTYPE","A4","A5","A6","C2","DVC4","DVC5","DVC4C5","DVC6ST01","DVC6ED01","DVC6ST02","DVC6ED02","DVC6ST03","DVC6ED03","DVC6ST04","DVC6ED04","DVC6ST05","DVC6ED05","DVC6ST06","DVC6ED06","DVC6ST07","DVC6ED07","DVC6ST08","DVC6ED08","DVC6ST09","DVC6ED09","DVC6","D1","DVD2","D3","DVD3","D4","DVD4","D5","D6","D8A","DVD8A","D8B","DVD8B","D8C","DVD8C","D10A","DVD10A","D10B","DVD10B","D10C","DVD10C","D10D","DVD10D","D11A","DVD11A","D11B","DVD11B","E2A","E2B","E2C","E2D","E2E","E2F","E2G","E2H","E2I","E2J","TIMECR","TIMENS","F1","F2A","F2AA","F2B","F2BB","DVF4A","DVF4B","DVF4C","F5","DVF5AB","DVF6A","DVF6B","DVF6C","F7","DVF7A1","DVF7A2","DVF7A3","DVF7A4","F8","F9","DVF9A1","DVF9A2","F10","DVF10A1","DVF10A2","DVF10A3","DVF10A4","DVF10A5","DVF10A6","F11","DVF11A1","DVF11A2","DVF11A3","DVF11A4","DVF11A5","DVF12A","DVF12B","DVF13","DVF14","F15","DVF16A","DVF16B","DVF16C","DVF16D","DVF16E","DVF16F","DVF17A","DVF17B","DVF17C","DVF17D","DVF18A","DVF18B","DVF19A","DVF19B","DVF19C","DVF19D","F20","DVF21A","DVF21B","DVF21C","DVF21D","DVF21E","DVF21F","DVF21G","DVF21H","DVF21I","DVF21J","DVF21K","DVF21L","F22","F23","G1","DVG2SP02","DVG2SP03","DVG2SP04","DVG2SP08","DVG2SP10","DVG2SP14","DVG2SP15","DVG2SP16","DVG2SP20","DVG2SP23","DVG2SP28","DVG2SP29","DVG2SP33","DVG2SP34","DVG2SP35","DVG2SP36","DVG2SP37","DVG2SP39","DVG2SP42","DVG2SP44","DVG2SP46","DVG2SP47","DVG2SP48","DVG2SP52","DVG2SP55","DVG2SP57","DVG2SP63","DVG2SP65","DVG2SP00","DVSP0065","DVSP0164","DVG2A","DVG2B","G4","G5C01","G5C02","G5C03","G5C04","G5C05","G5C06","G5C07","G5C08","G5C09","G5C10","G5C11","G5C12","G6","G7","DVG8MEMT","DVG8MEMA","DVAGR8MA","DVG8COMA","DVG8AS1A","DVG8AS2A","DVG8AS3A","DVG8AS4A","DVG8MEMB","DVAGR8MB","DVG8COMB","DVG8AS1B","DVG8AS2B","DVG8AS3B","DVG8AS4B","DVG8MEMC","DVAGR8MC","DVG8COMC","DVG8AS1C","DVG8AS2C","DVG8AS3C","DVG8AS4C","DVG8MEMD","DVAGR8MD","DVG8COMD","DVG8AS1D","DVG8AS2D","DVG8AS3D","DVG8AS4D","G9","G10A","DVRESCOA","DVG10AMA","DVAGRAMA","DVG10AMB","DVAGRAMB","G10B","DVRESREF","DVG10BMA","DVAGRBMA","DVG10BMB","DVAGRBMB","G10C","DVRESVOL","DVG10CMA","DVAGRCMA","DVG10CMB","DVAGRCMB","G10D","DVRESSPC","DVG10DMA","DVAGRDMA","DVG10DMB","DVAGRDMB","G11","G12","H1","H2","H3","H4","H5CAP","H5A","H7","H9SICCAT","H10SOCCT","H10PINEO","H13","H14","H15","H16","H18SICCT","H19SOCCT","H19PINEO","H21","H22","H23MAIN","H23OTH","H24","H25C01","H25C02","H25C03","H25C04","H25C05","H25C06","H25C07","H25C08","H25C09","H26","H27","H28","H29A","H29B","DVHRWK","DVWKACTY","DVSPERN","J1","J2","J3","J4","J5","J6","DVJ7S1","DVJ7E1","DVJ7S2","DVJ7E2","J8","DVJ8","J9","DVJ9","J10","J11","J12","K2","DVBORNRC","DVAGRIMM","DVK13","DVK13ESU","DVK13FSU","DVK13OSU","DVK14","K15","K16","K17","K18","DVEDUC","DVK19COL","K20","K21","K22","K24","DVK25COL","DVK26COL","K28","K29CAP","K29A","DVPERINC","K31","K32CAP","DVHHINC","DVAGEGR","DVSEX","DVMS","DVHHSCAP","DVPROV","DVCMA","DVLVGRGR","DVAGRYC","RESC0004","RESC0512","RESC1318","RESC1924","RESC2596","DVAGRSP"
"14",26228,12,1212.0504,1,3,2,4,2,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,2,0,1,6,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,3,2,2,2,2,2,2,2,2,2,2,0,0,2,0,999.7,0,999.7,1,1,4,0,0,4,1,1,1,4,4,4,3,1,2,0,0,2,0,0,0,0,0,0,1,4,4,4,3,4,4,4,4,2,2,0,0,0,0,0,0,4,4,4,4,4,4,1,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,5,1,31,0,2,97,0,0,8,97,97,97,97,0,0,8,97,97,97,97,0,0,8,97,97,97,97,2,1,2,1,5,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,1,1,5,0,2,1,9997,0,36,5,29,15,97,0,0,97,97,97,97,0,0,99.7,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.7,0,7,1,1,0,0,46,2,9797,9797,9797,9797,1,8,2,0,2,999.7,3,2,1,97,1,1,0,0,1,9,1,2,97,10,2,3,1,2,1,1,1,4,999999.97,0,6,2,1,8,3,1,1,2,7,11,2,97,0,0,0,0,0,2
"15",20361,9,4485.4774,2,2,2,6,2,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,2,0,1,30,1,2,2,0,2,0,2,0,1,2,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,1,2,2,2,2,2,2,1,0,2,0,999.7,0,999.7,1,1,1,1,1,3,1,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,4,4,4,4,3,4,4,4,4,4,3,4,4,1,4,4,1,4,4,4,4,3,4,4,4,4,4,4,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,3,7,37,97,97,97,0,0,7,97,97,97,97,0,0,7,97,97,97,97,0,0,7,97,97,97,97,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0,5,0,2,2,1969,0,97,97,97,97,97,0,0,97,97,97,97,0,0,99.7,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.7,0,7,1,1,0,0,40,2,9797,9797,9797,9797,1,2,2,0,2,999.7,10,1,1,97,2,0,1,0,2,5,0,2,97,11,2,1,1,2,2,1,1,4,999999.97,0,1,2,2,8,7,2,1,4,4,5,3,15,0,0,1,1,0,4
"16",20155,9,1387.0662,1,1,1,3,2,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,2,0,1,6,2,0,2,0,1,2,2,0,2,0,2,0,1,3,1,3,2,0,1,5,2,0,2,2,1,1,1,1,2,2,1,1,6,0,2,0,999.7,0,999.7,1,1,1,1,1,1,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,1,4,4,4,4,4,3,4,2,4,2,2,4,3,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,6,3,5,35,97,97,97,0,0,8,97,97,97,97,0,0,8,97,97,97,97,0,0,8,97,97,97,97,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,1,1,0,0,5,5,2,0,4,1,1,0,9997,0,97,97,97,97,13,2,2,97,11,18,14,2,2,1.2,99.7,2,2,2,2,2,1,2,2,2,2,6,1,2,2,2,1.2,4,11,2,97,0,0,999.7,0,9797,9797,9797,9797,0,99.7,0,99.7,0,999.7,97,1,1,97,1,1,0,0,1,8,2,2,97,11,7,1,3,2,2,1,1,2,999999.97,0,2,2,3,98,1,2,4,4,2,3,10,97,0,0,0,0,0,0
"17",6008,3,4964.0121,1,1,1,6,1,800,2130,810,800,2130,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,810,1,70,2,0,2,0,2,0,1,2,2,0,2,0,1,1,1,1,2,0,2,0,2,0,2,0,1,1,2,1,2,1,2,2,2,2,4,0,2,0,999.7,0,999.7,3,2,3,1,1,3,2,2,1,3,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,2,0,0,0,0,0,0,4,4,3,3,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,1,1,5,0,2,2,1990,0,97,97,97,97,97,0,0,97,97,97,97,0,0,99.7,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.7,0,7,1,2,0,0,60,2,9797,9797,9797,9797,2,0,2,0,1,4,10,1,1,97,1,1,0,0,1,9,1,2,97,10,2,3,2,2,2,7,7,4,999999.97,0,2,2,1,9,5,2,1,4,5,8,3,1,2,0,0,0,0,2
"18",4694,3,679.3161,1,3,2,6,2,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,2,2,2,2,2,2,2,0,0,2,0,999.7,0,999.7,1,4,4,0,0,4,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0,6,0,2,2,9997,1,97,97,97,97,97,0,0,97,97,97,97,0,0,99.7,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.7,0,12,2,97,0,0,999.7,0,9797,9797,9797,9797,0,99.7,0,99.7,0,999.7,97,2,7,6,3,0,0,1,3,2,0,2,97,12,2,2,5,1,1,7,7,4,999999.97,0,98,1,0,98,15,2,2,1,7,10,1,97,0,0,0,0,0,0
"19",10007,5,1859.988,1,1,1,5,1,630,2230,960,630,1900,1940,2215,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,905,1,50,1,16,1,12.5,2,0,2,0,1,8,2,0,2,0,2,0,1,2,2,0,1,8,2,0,2,2,1,1,1,2,1,2,1,2,5,0,2,0,999.7,0,999.7,1,1,3,2,5,4,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,2,0,0,0,0,0,0,4,1,4,4,4,2,4,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,3,2,7,34,65,97,97,3,2,7,65,97,97,97,0,0,7,97,97,97,97,0,0,7,97,97,97,97,1,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,0,1,5,1,1,0,0,0,0,2,0,1,0,0,0,9997,0,97,97,97,97,52,2,1,7,5,30,10,2,2,70,99.7,1,0,0,0,0,0,0,0,0,0,1,2,1,2,1,70,1,2,1,5,0,1,22,1,700,1500,9797,9797,1,26.5,1,10,1,70,8,1,2,97,1,1,0,0,1,6,0,1,9,9,7,2,3,2,2,1,1,2,999999.97,0,5,2,1,6,5,1,1,5,9,14,3,3,1,2,0,0,0,2
"20",8104,4,2739.2715,2,2,1,6,2,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,2,0,1,3,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,0,2,0,2,0,2,2,2,2,2,2,2,2,1,2,1,0,1,1,120,2,999.7,4,4,1,1,4,2,1,1,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,1,4,4,4,4,3,4,4,2,1,2,0,0,0,0,0,0,4,4,4,4,3,4,1,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,1,1,4,1,2,2,9997,1,97,97,97,97,97,0,0,97,97,97,97,0,0,99.7,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.7,0,12,2,97,0,0,999.7,0,9797,9797,9797,9797,0,99.7,0,99.7,0,999.7,97,2,1,97,2,0,1,0,2,7,0,2,97,11,2,5,3,2,2,1,1,4,999999.97,0,1,2,1,4,1,1,4,2,4,6,12,97,0,0,0,0,0,0
"21",13339,6,504.2297,1,1,1,6,1,600,2200,960,800,2200,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,840,1,98,1,28,2,0,2,0,1,12,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,2,2,2,2,1,1,2,2,0,2,0,999.7,0,999.7,1,3,4,0,0,4,4,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,2,0,0,0,0,0,0,4,4,4,3,4,4,1,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,5,0,2,2,1988,0,97,97,97,97,97,0,0,97,97,97,97,0,0,99.7,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.7,0,12,2,97,0,0,999.7,0,9797,9797,9797,9797,0,99.7,0,99.7,0,999.7,97,2,1,97,1,1,0,0,1,8,2,2,97,11,2,4,3,2,2,1,1,4,999999.97,0,4,2,7,4,3,2,4,3,2,3,7,0,2,0,0,0,0,0
"22",3408,2,910.6084,1,2,1,3,2,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,2,0,1,6,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,1,1,2,2,2,1,2,3,0,1,1,15,1,24,1,1,1,1,1,4,1,1,1,3,3,4,4,1,2,0,0,2,0,0,0,0,0,0,1,3,4,4,4,2,4,4,2,2,1,4,4,4,4,3,4,4,3,3,3,4,4,4,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,1,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0,1,0,0,0,9997,0,97,97,97,97,40,1,0,97,2,1,3,2,2,40,99.7,1,0,0,0,0,0,0,0,0,0,1,1,2,1,2,40,3,10,2,97,0,0,999.7,0,9797,9797,9797,9797,0,99.7,0,99.7,0,999.7,97,2,2,97,1,1,0,0,1,9,1,1,3,3,2,5,3,2,2,1,1,1,2400,6,6,1,0,6,3,2,4,1,8,13,1,97,0,0,0,0,0,0
"23",11145,5,2913.2739,1,2,2,4,1,705,2150,885,700,800,1700,2200,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,360,1,44,1,5,1,15,2,0,2,0,1,3,1,20,2,0,2,0,2,0,2,0,1,5,2,0,2,2,2,2,2,2,2,2,2,2,0,0,1,2,999.7,1,4,2,4,4,0,0,4,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,2,0,0,0,0,0,0,4,4,4,4,4,4,4,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,2,5,20,37,97,97,2,2,5,37,97,97,97,0,0,8,97,97,97,97,0,0,8,97,97,97,97,2,2,2,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,9997,0,97,97,97,97,52,1,0,97,12,3,4,2,2,40,99.7,1,0,0,0,0,0,0,0,0,0,1,2,1,2,1,40,1,2,1,1,0,0,28,2,9797,9797,9797,9797,1,16,1,3.5,1,40,4,1,1,97,1,1,0,0,1,9,1,1,5,5,3,4,1,2,2,1,1,1,1369,4,8,2,1,10,6,1,1,4,5,8,3,6,0,2,0,0,0,3
"24",8334,4,2778.8064,2,4,1,4,2,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,1,1,1,1,2,0,2,0,1,2,2,0,2,0,1,1.5,2,0,1,2,2,0,2,0,1,1,2,2,1,2,1,2,2,2,2,2,2,0,1,1,100,2,999.7,1,1,1,1,1,1,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,3,2,0,0,0,0,0,0,4,4,4,4,2,3,4,4,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,2,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,5,5,48,97,97,97,4,5,5,48,97,97,97,0,0,8,97,97,97,97,0,0,8,97,97,97,97,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,2,0,4,1,2,2,9997,1,97,97,97,97,97,0,0,97,97,97,97,0,0,99.7,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.7,0,12,2,97,0,0,999.7,0,9797,9797,9797,9797,0,99.7,0,99.7,0,999.7,97,1,1,97,2,0,1,0,2,6,0,2,97,11,2,5,1,2,1,1,1,4,999999.97,0,1,2,2,9,1,2,4,4,4,5,10,97,0,0,0,0,0,0
"25",12965,6,2795.3258,1,1,3,5,1,730,2230,900,0,0,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,0,1,28,1,3,1,55,2,0,2,0,1,3,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,1,2,1,1,1,1,1,1,7,0,1,1,40,2,999.7,1,4,3,1,1,2,4,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,0,0,0,0,0,0,4,4,4,2,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,2,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,2,5,34,97,97,97,0,0,8,97,97,97,97,0,0,8,97,97,97,97,0,0,8,97,97,97,97,2,2,2,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,9997,0,97,97,97,97,52,1,0,97,6,12,14,1,2,40,99.7,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,40,1,3,1,5,0,2,999.7,0,9797,9797,9797,9797,1,50,1,40,1,168,9,1,1,97,1,1,0,0,1,9,1,1,3,3,1,0,3,1,2,1,1,1,35000,7,7,2,1,7,7,1,1,4,5,8,3,4,1,1,0,0,0,3
"26",5206,3,723.7034,1,2,1,6,2,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,0,2,0,2,0,2,1,1,2,2,2,2,2,1,2,3,0,1,1,36,2,999.7,1,1,4,0,0,1,1,3,1,3,4,4,4,1,1,3,4,2,0,0,0,0,0,0,2,0,0,0,0,0,4,4,3,3,2,0,0,0,0,0,0,4,4,3,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,2,2,2,2,2,2,1,0,0,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0,1,0,0,0,9997,0,97,97,97,97,25,1,0,97,12,9,9,1,2,40,99.7,1,0,0,0,0,0,0,0,0,0,1,2,2,2,1,40,3,10,2,97,0,0,999.7,0,9797,9797,9797,9797,0,99.7,0,99.7,0,999.7,97,1,1,97,1,1,0,0,1,9,1,1,6,6,1,0,1,1,1,5,1,1,18,1,4,1,0,4,3,2,4,1,9,15,1,97,0,0,0,0,0,0
"27",10129,5,1740.1063,1,1,1,3,2,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,2,0,1,9,1,5,2,0,2,0,2,0,2,0,1,4,2,0,2,0,2,0,2,0,2,0,2,2,2,2,1,2,1,2,1,2,3,0,2,0,999.7,0,999.7,1,1,1,2,8,4,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,2,0,0,0,0,0,0,4,3,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,9997,0,97,97,97,97,52,1,0,97,7,11,12,2,2,44,99.7,1,0,0,0,0,0,0,0,0,0,1,2,2,2,9,44,1,1,1,1,0,0,40,2,9797,9797,9797,9797,1,28,1,2,2,999.7,10,1,1,97,1,1,0,0,1,7,0,1,5,5,1,0,3,1,2,7,1,1,30000,7,7,2,1,8,4,1,1,2,9,15,2,97,0,0,0,0,0,2
"28",3590,2,885.0577,1,5,2,2,2,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,2,0,2,0,1,1,2,0,1,1,1,0.5,2,0,1,0.5,2,0,1,6,1,15,2,0,2,0,2,2,2,2,1,2,1,2,2,2,2,0,1,2,999.7,1,20,1,1,4,0,0,4,1,1,1,4,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,1,3,4,4,4,4,3,3,3,4,3,2,4,4,4,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,2,2,2,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,9997,0,97,97,97,97,32,2,1,2,1,1,6,2,2,40,99.7,1,0,0,0,0,0,0,0,0,0,1,1,2,2,2,40,3,3,1,5,0,2,999.7,0,9797,9797,9797,9797,1,40,2,0,2,999.7,6,1,1,97,1,1,0,0,1,9,1,1,6,6,11,1,3,2,1,1,1,2,999999.97,0,9,2,1,9,8,1,1,2,7,10,2,97,0,0,0,0,0,4
"29",26501,12,559.8247,1,1,1,6,2,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,2,0,1,3,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1,2,1,1,2,1,1,2,6,0,1,1,120,2,999.7,1,2,3,1,1,1,1,1,1,3,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,2,1,3,4,3,3,4,4,3,3,4,3,3,3,4,4,4,4,1,4,4,3,4,4,4,4,4,4,4,4,4,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,2,2,2,2,2,2,2,1,0,0,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,1,1,4,1,2,1,9997,0,16,8,7,5,97,0,0,97,97,97,97,0,0,99.7,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.7,0,12,2,97,0,0,999.7,0,9797,9797,9797,9797,0,99.7,0,99.7,0,999.7,97,2,2,97,1,1,0,0,1,9,1,1,6,6,1,0,1,2,2,1,1,4,999999.97,0,2,1,0,2,3,2,4,1,7,11,1,97,0,0,0,0,0,0
"30",10693,5,4397.4457,1,2,1,3,2,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,9797,2,0,1,3,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,0,2,0,2,0,3,2,1,1,2,1,1,1,1,1,7,0,1,9,999.9,9,999.9,1,2,4,0,0,4,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,2,0,0,0,0,0,0,4,4,4,4,3,4,4,4,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,0,0,0,97,97,97,97,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0,4,1,2,1,9997,0,16,10,6,4,97,0,0,97,97,97,97,0,0,99.7,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.7,0,12,2,97,0,0,999.7,0,9797,9797,9797,9797,0,99.7,0,99.7,0,999.7,97,2,1,97,1,1,0,0,1,8,2,2,97,11,1,0,4,1,1,1,1,4,999999.97,0,5,2,2,98,1,1,4,3,5,8,12,97,0,0,0,0,0,0
