"","RECID","EPINO","WGHT_EPI","DDAY","TOTEPISO","ACTCODE","STARTIME","ENDTIME","STARTMIN","ENDMIN","DURATION","PLACE","ALONE","SPOUSE","CHILDHSD","PARHSD","MEMBHSD","NHSDCL15","NHSDC15P","NHSDPAR","OTHFAM","FRIENDS","OTHERS","SACT1","SACT2","SACT3","SACT1DUR","SACT2DUR","SACT3DUR"
"1",9283,32,3549.354,6,41,301,1906,1921,1146,1161,15,6,2,1,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"2",9216,6,743.548,5,11,752,1620,2230,980,1350,370,3,2,2,2,2,2,2,2,2,2,1,2,96,97,97,9997,9997,9997
"3",13484,12,1188.5825,4,24,390,1400,1404,840,844,4,14,2,2,2,2,2,2,2,2,2,1,2,96,97,97,9997,9997,9997
"4",5589,8,1542.0028,6,18,301,1210,1225,730,745,15,6,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"5",3531,5,406.2558,1,25,816,805,1005,485,605,120,9,2,2,1,2,2,2,2,2,2,2,2,11,15,96,120,120,9997
"6",2168,18,5533.9929,7,21,752,2001,200,1201,1560,359,3,2,2,2,2,2,2,2,2,2,1,2,11,28,14,150,9999,9999
"7",3353,12,1167.7826,7,16,491,1900,1915,1140,1155,15,14,2,2,2,2,2,2,2,2,2,1,1,96,97,97,9997,9997,9997
"8",9641,8,1343.4265,4,22,390,840,850,520,530,10,14,1,2,2,2,2,2,2,2,2,2,2,18,96,97,10,9997,9997
"9",7589,3,659.8373,7,44,400,745,805,465,485,20,1,9,9,9,9,9,9,9,9,9,9,9,97,97,97,9997,9997,9997
"10",4350,8,1642.3221,5,19,90,1530,1535,930,935,5,14,2,2,2,2,2,1,2,2,2,2,2,96,97,97,9997,9997,9997
"11",7156,7,1332.6495,3,13,751,830,1700,510,1020,510,3,2,2,2,2,2,2,2,2,1,2,1,13,96,97,90,9997,9997
"12",10839,9,723.9024,2,23,491,1455,1505,895,905,10,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"13",1506,5,4054.4357,6,8,90,1800,1802,1080,1082,2,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"14",144,23,639.4185,2,41,390,1138,1143,698,703,5,12,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"15",12187,12,1857.5563,6,24,440,1230,1300,750,780,30,4,2,2,1,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"16",11804,22,504.9029,7,29,780.1,1850,2200,1130,1320,190,11,2,2,2,2,2,2,2,2,2,1,2,96,97,97,9997,9997,9997
"17",1647,13,3122.4643,6,29,291,1106,1118,666,678,12,14,2,2,1,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"18",9923,14,1936.4291,6,26,891,1620,1630,980,990,10,14,2,2,1,2,2,2,2,2,2,1,2,96,97,97,9997,9997,9997
"19",15365,20,48.7086,7,27,390,1917,1918,1157,1158,1,14,2,1,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"20",4347,23,1946.2218,5,34,911,1513,1630,913,990,77,1,2,2,1,1,1,2,2,2,2,2,2,11,96,97,20,9997,9997
"21",10170,20,324.604,5,26,911,1610,1700,970,1020,50,1,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"22",11332,22,5447.6627,7,29,400,2256,2301,1376,1381,5,11,9,9,9,9,9,9,9,9,9,9,9,97,97,97,9997,9997,9997
"23",14168,5,405.7969,2,15,911,1240,1300,760,780,20,1,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"24",14728,9,282.2597,2,24,90,1145,1200,705,720,15,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"25",3414,11,1094.5176,2,22,931,1400,1500,840,900,60,3,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"26",5033,3,2132.1599,4,14,90,730,735,450,455,5,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"27",6321,13,2962.9471,7,31,640,1055,1110,655,670,15,9,2,2,2,2,2,2,2,2,2,1,2,97,97,97,9997,9997,9997
"28",10240,6,4093.7315,3,15,751,950,1200,590,720,130,3,2,2,2,2,2,2,2,2,2,1,2,11,12,96,130,130,9997
"29",4669,14,656.4402,3,17,291,1730,1820,1050,1100,50,14,2,2,1,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"30",5169,19,1211.3761,6,25,752,1750,1915,1070,1155,85,3,2,2,2,2,2,2,2,2,2,1,2,96,97,97,9997,9997,9997
"31",5589,4,1542.0028,6,18,90,640,647,400,407,7,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"32",13676,9,99.3525,2,29,90,740,755,460,475,15,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"33",7628,17,2118.4302,1,31,702,1735,1815,1055,1095,40,9,2,2,1,2,2,2,2,2,1,2,1,11,14,96,40,40,9997
"34",12661,17,2402.0105,2,27,291,1505,1510,905,910,5,14,2,2,1,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"35",11279,22,1299.4292,6,28,751,1452,1522,892,922,30,3,2,2,2,2,2,2,2,2,2,1,2,96,97,97,9997,9997,9997
"36",8627,17,2544.265,1,26,804.1,1905,2015,1145,1215,70,9,2,1,1,2,2,2,2,2,2,2,2,11,96,97,70,9997,9997
"37",7991,3,1575.8139,6,16,491,740,750,460,470,10,14,2,1,2,2,2,2,2,2,2,2,2,11,96,97,10,9997,9997
"38",9288,16,1579.8708,3,20,390,2030,2045,1230,1245,15,13,2,2,2,2,2,2,2,2,2,1,2,96,97,97,9997,9997,9997
"39",8373,20,1212.8318,2,24,301,2005,2025,1205,1225,20,6,2,2,2,2,2,2,2,2,2,1,2,11,96,97,20,9997,9997
"40",10114,13,892.1013,1,37,172,1135,1235,695,755,60,9,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"41",2632,10,1914.7457,4,25,390,1145,1150,705,710,5,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"42",10138,18,2616.4418,4,29,11,1515,1700,915,1020,105,7,2,2,2,2,2,2,2,2,2,2,1,97,97,97,9997,9997,9997
"43",7451,8,1752.5639,2,16,390,1530,1600,930,960,30,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"44",2595,30,1831.9516,2,43,302.9,1743,1815,1063,1095,32,7,2,1,1,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"45",7991,14,1575.8139,6,16,491,2015,2030,1215,1230,15,14,2,1,2,2,2,2,2,2,2,2,2,11,96,97,15,9997,9997
"46",12801,10,4050.3116,1,14,792,1655,1705,1015,1025,10,17,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"47",4555,2,4029.3437,4,21,400,630,730,390,450,60,1,9,9,9,9,9,9,9,9,9,9,9,97,97,97,9997,9997,9997
"48",8025,11,2116.5485,2,19,400,1647,1717,1007,1037,30,1,9,9,9,9,9,9,9,9,9,9,9,97,97,97,9997,9997,9997
"49",5253,10,735.2351,7,29,281.9,1230,1245,750,765,15,1,2,2,1,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"50",4495,13,2663.9918,6,18,950,1745,1815,1065,1095,30,1,2,2,2,1,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"51",9911,24,382.2508,7,29,751,1905,2205,1145,1325,180,1,2,2,1,2,2,2,2,2,2,1,2,11,96,97,180,9997,9997
"52",14244,16,2699.6924,4,28,590,1545,1615,945,975,30,14,2,2,1,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"53",14281,6,1023.4978,3,10,90,1700,1730,1020,1050,30,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"54",9144,11,431.5308,7,17,390,1650,1720,1010,1040,30,14,2,2,2,2,2,2,2,2,2,1,2,11,96,97,30,9997,9997
"55",10472,8,455.1334,3,26,390,1113,1128,673,688,15,14,2,2,2,2,2,2,2,2,2,1,2,11,96,97,15,9997,9997
"56",6946,9,6129.9992,2,17,470,1510,1630,910,990,80,1,1,2,2,2,2,2,2,2,2,2,2,21,96,97,80,9997,9997
"57",15147,15,946.5428,7,25,440,1248,1405,768,845,77,4,1,2,2,2,2,2,2,2,2,2,2,16,96,97,77,9997,9997
"58",8722,10,2912.9097,4,26,11,1015,1200,615,720,105,2,1,2,2,2,2,2,2,2,2,2,2,97,97,97,9997,9997,9997
"59",4581,18,585.9867,5,32,301,1535,1555,935,955,20,6,2,2,2,2,2,2,2,2,2,2,1,11,96,97,15,9997,9997
"60",2152,10,2462.8617,5,21,50,730,745,450,465,15,2,1,2,2,2,2,2,2,2,2,2,2,21,96,97,7,9997,9997
"61",2265,22,285.5605,7,26,184,2247,2259,1367,1379,12,1,2,1,2,2,2,2,2,2,1,2,2,96,97,97,9997,9997,9997
"62",12717,21,3046.4282,3,33,90,1753,1800,1073,1080,7,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"63",2128,14,1564.9604,1,26,792,1330,1331,810,811,1,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"64",935,9,2181.6801,3,30,90,750,810,470,490,20,15,2,2,2,2,2,2,2,2,2,1,2,11,96,97,20,9997,9997
"65",7166,23,329.9144,4,38,90,1720,1800,1040,1080,40,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"66",5684,8,1526.2772,3,52,291,825,830,505,510,5,98,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"67",7265,18,583.932,7,30,302.3,1613,1628,973,988,15,6,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"68",13651,18,420.8336,3,41,291,1514,1515,914,915,1,14,2,2,1,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"69",13327,4,411.7847,3,27,291,730,745,450,465,15,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"70",6587,9,794.2302,1,24,692,1030,1035,630,635,5,14,2,1,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"71",9726,12,552.3903,2,20,752,1440,1540,880,940,60,3,2,1,2,2,2,2,2,2,2,1,2,96,97,97,9997,9997,9997
"72",1397,18,833.4834,2,27,492,1615,1620,975,980,5,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"73",11862,9,3239.8172,6,17,810.9,1315,1630,795,990,195,9,2,2,1,2,2,2,2,2,1,2,2,96,97,97,9997,9997,9997
"74",8416,22,2001.1007,2,32,301,1603,1633,963,993,30,7,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"75",13677,16,1127.2322,7,24,807.3,1315,1815,795,1095,300,11,2,2,2,2,2,1,2,2,2,2,1,11,96,97,300,9997,9997
"76",11265,11,627.7799,7,28,751,1225,1310,745,790,45,3,2,2,2,2,2,2,2,2,2,1,2,96,97,97,9997,9997,9997
"77",2263,6,3644.7031,6,25,90,1100,1110,660,670,10,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"78",902,8,1432.3462,6,34,390,920,925,560,565,5,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"79",5138,4,259.254,4,14,780.1,800,930,480,570,90,11,2,2,2,2,2,2,2,2,2,2,1,96,97,97,9997,9997,9997
"80",10493,10,767.4607,1,18,440,1300,1400,780,840,60,4,1,2,2,2,2,2,2,2,2,2,2,16,96,97,60,9997,9997
"81",5958,17,381.7325,2,22,751,1840,2100,1120,1260,140,3,2,2,2,2,2,2,2,2,2,1,2,96,97,97,9997,9997,9997
"82",2939,9,1086.4917,2,35,332.1,945,947,585,587,2,11,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"83",315,6,1907.1896,4,18,90,730,750,450,470,20,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"84",13750,3,314.1875,7,15,990,730,800,450,480,30,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"85",2170,15,324.7595,2,31,390,1115,1130,675,690,15,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"86",14604,16,5482.0263,4,23,590,1600,1630,960,990,30,14,2,2,2,2,1,2,2,2,2,2,2,11,96,97,30,9997,9997
"87",3589,6,3903.1792,6,24,90,715,745,435,465,30,16,1,2,2,2,2,2,2,2,2,2,2,16,96,97,30,9997,9997
"88",3917,18,2015.811,2,26,791,2030,2035,1230,1235,5,14,2,1,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"89",11949,8,2457.7851,5,21,90,1230,1235,750,755,5,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"90",8014,15,2735.923,2,28,390,745,755,465,475,10,14,1,2,2,2,2,2,2,2,2,2,2,26,96,97,10,9997,9997
"91",13148,12,5034.299,6,26,753,1230,1330,750,810,60,8,2,2,2,2,2,2,2,2,2,1,2,14,96,97,60,9997,9997
"92",4302,15,745.7106,1,17,951.1,2145,2215,1305,1335,30,1,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"93",11092,8,2394.6317,2,19,171.2,845,1500,525,900,375,1,1,2,2,2,2,2,2,2,2,2,2,14,96,97,30,9997,9997
"94",9341,5,2628.4048,3,19,90,840,850,520,530,10,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"95",221,11,6490.4147,6,16,440,1835,1920,1115,1160,45,4,2,2,2,2,2,2,2,2,2,1,2,96,97,97,9997,9997,9997
"96",11969,10,1258.1236,3,29,301,855,935,535,575,40,11,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"97",800,10,2724.0426,5,20,90,1232,1234,752,754,2,14,1,2,2,2,2,2,2,2,2,2,2,96,97,97,9997,9997,9997
"98",11484,12,1435.2975,4,22,491,1445,1510,885,910,25,14,2,2,2,2,2,2,2,2,2,1,2,11,96,97,25,9997,9997
"99",11045,4,4516.4625,2,13,301,1015,1045,615,645,30,7,2,2,2,1,2,2,2,2,2,2,2,11,96,97,30,9997,9997
"100",9536,13,1713.4387,5,22,281.2,1700,1715,1020,1035,15,11,2,2,1,2,2,2,2,2,2,2,2,11,96,97,15,9997,9997
